TDATN,Allport Odbert source,Norman source,Saucier,G&N 1710,,,,,,,,
alchemistic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
alcoholic,Allport Odbert - Column II,Norman - category 1; form 3,included,not included,,,,,,,,
aldermanic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
alert,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
alexipharmic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
algefacient,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
algid,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
alien,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
alive,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
all-round,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
allaying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
alleviating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
alleviative,Allport Odbert - Column II,Norman - category 3; form 5,not included,not included,,,,,,,,
allicient,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
allocryptic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
allosematic,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
alluring,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
almighty,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
alone,Allport Odbert - Column IV,not included,included,not included,,,,,,,,
aloof,Allport Odbert - Column I,Norman - category 1; form 1,not included,included,,,,,,,,
alterable,not included,Norman - category 3; form 13,not included,not included,,,,,,,,
altercating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
altercative,Allport Odbert - Column I,Norman - category 3; form 2,not included,not included,,,,,,,,
altered,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
altiloquent,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
altisonant,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
altitudinarian,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
altruistic,Allport Odbert - Column I,Norman - category 2; form 3,not included,included,,,,,,,,
amain,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
amative,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
amatory,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
amazed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
amazing,Allport Odbert - Column III,not included,included,not included,,,,,,,,
ambagious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
ambidextrous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
ambiguous,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
ambitious,Allport Odbert - Column III,Norman - category 1; form 4,not included,included,,,,,,,,
ambivalent,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
ambling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
ameliorative,not included,Norman - category 2; form 11,not included,not included,,,,,,,,
amenable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
amending,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
amiable,Allport Odbert - Column III,Norman - category 1; form 5,not included,included,,,,,,,,
amicable,Allport Odbert - Column III,Norman - category 2; form 1,not included,included,,,,,,,,
amiss,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
amnesic,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
amoeboid,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
amoral,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
