TERM,NLP1,NLP2,NLP3,NLP4,NLP5,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
annoying,-35.771766662597656,-10.827840805053711,1.7493112087249756,-17.291303634643555,-4.541086673736572,,,,,
antagonistic,-42.07023620605469,-6.930850028991699,27.248489379882812,-4.262836456298828,3.0931918621063232,-0.47,-0.09,-0.09,0.19,-0.02
antagonizing,-45.36111831665039,-9.829689025878906,24.85282325744629,-12.666861534118652,-2.525986671447754,,,,,
anticipative,28.01543426513672,-18.332969665527344,-1.2383993864059448,-8.114961624145508,0.6234087347984314,,,,,
antisocial,-36.53909683227539,17.21476173400879,10.59824275970459,-10.22429370880127,-9.459789276123047,,,,,
anxious,-18.970705032348633,-6.499256134033203,-3.574476718902588,-26.715599060058594,10.367531776428223,0.05,-0.02,0.0,0.38,-0.13
apathetic,-9.108257293701172,38.678932189941406,-31.13709259033203,0.6045509576797485,-11.332269668579102,-0.08,-0.23,-0.04,-0.01,-0.18
aphoristic,4.177662372589111,-4.0307488441467285,-15.551305770874023,17.785396575927734,-12.142074584960938,,,,,
apolitical,21.542259216308594,28.72062110900879,-20.966510772705078,20.37180519104004,-13.612969398498535,,,,,
apologetic,12.56783676147461,17.28550910949707,-35.56422424316406,-35.21426773071289,0.8133029341697693,,,,,
appealing,43.78422164916992,-20.94623374938965,4.756835460662842,-5.168076992034912,13.55721378326416,,,,,
appeasing,38.27532958984375,19.900602340698242,-29.470726013183594,-22.90366554260254,0.7017480134963989,,,,,
appreciated,38.5599250793457,-13.386664390563965,3.6011734008789062,0.9861545562744141,37.561405181884766,,,,,
appreciative,52.24839401245117,-10.473599433898926,-10.672502517700195,-22.185569763183594,1.3935929536819458,,,,,
apprehensive,-11.004913330078125,13.555331230163574,-3.85505747795105,-21.99699592590332,21.268939971923828,,,,,
approachable,58.90738296508789,-9.60723876953125,-22.90404510498047,-11.481528282165527,-15.354488372802734,,,,,
arbitrary,-24.281774520874023,-12.367737770080566,-17.70922088623047,27.396730422973633,15.709102630615234,,,,,
arbitrative,-4.619358539581299,1.0673985481262207,9.435423851013184,15.180081367492676,1.3903262615203857,,,,,
ardent,14.173446655273438,-28.013050079345703,20.69947052001953,5.0888166427612305,7.417709827423096,,,,,
argumentative,-26.071313858032227,-23.22728157043457,22.67795181274414,-19.954402923583984,-16.911216735839844,-0.32,0.16,-0.02,0.22,0.01
aristocratic,13.98214340209961,8.154996871948242,28.295291900634766,-14.844825744628906,-2.9464595317840576,,,,,
arrogant,-27.650815963745117,-22.962392807006836,22.330087661743164,-15.270411491394043,-34.58021926879883,,,,,
artful,35.95451354980469,-15.294862747192383,12.93350601196289,-2.042802572250366,24.489377975463867,,,,,
articulate,39.71333312988281,-18.65833854675293,26.033708572387695,-0.9922569394111633,2.5176310539245605,0.07,0.1,0.15,0.01,0.38
artificial,-12.834722518920898,13.979924201965332,-7.289585590362549,9.093757629394531,5.2279863357543945,,,,,
artistic,35.88236618041992,-24.97705078125,1.2751997709274292,-9.182106971740723,17.078861236572266,0.12,0.01,0.01,0.01,0.25
artless,-15.134679794311523,31.70581817626953,-19.464275360107422,35.89059829711914,-17.263134002685547,,,,,
artsy,30.5233211517334,-21.008813858032227,-8.009642601013184,-11.237531661987305,9.86931037902832,,,,,
ascendant,15.689801216125488,-16.12963104248047,2.3653199672698975,16.5001220703125,28.624208450317383,,,,,
ascetic,10.917852401733398,38.19279479980469,11.61355209350586,-10.704325675964355,8.281639099121094,,,,,
ashamed,-17.371280670166016,21.50594139099121,-22.137483596801758,-21.997608184814453,23.58959197998047,,,,,
asocial,-11.9908447265625,25.6167049407959,-14.308841705322266,9.11485481262207,-5.526376247406006,,,,,
assertive,13.731441497802734,-29.6082763671875,39.74303436279297,5.6611151695251465,-18.855571746826172,-0.15,0.53,0.15,-0.08,0.14
assiduous,21.68171501159668,-3.591052293777466,34.7249870300293,1.4337646961212158,0.4551847577095032,,,,,
assuming,-9.244074821472168,-10.62525463104248,-4.3041534423828125,3.5279276371002197,-4.319797515869141,,,,,
assured,38.45560836791992,6.549256324768066,34.70014190673828,17.384729385375977,0.6646258234977722,0.01,0.42,0.23,-0.31,0.12
assuring,48.030208587646484,-6.348228454589844,8.745989799499512,-3.292879104614258,0.2854101061820984,,,,,
astute,30.608503341674805,-17.823530197143555,31.613889694213867,-5.7725749015808105,7.160260200500488,,,,,
atheistic,-0.6080906987190247,15.825886726379395,-19.845443725585938,21.768590927124023,-1.726239562034607,,,,,
athletic,27.92298126220703,-26.1650447845459,14.329523086547852,-2.0764570236206055,-7.477071285247803,,,,,
attention-seeking,-14.381568908691406,-36.6905632019043,-2.431245803833008,-14.192235946655273,-26.12755012512207,,,,,
attentive,47.763545989990234,-3.5235800743103027,9.810340881347656,-19.993022918701172,-5.667017459869385,,,,,
attractive,43.556663513183594,-22.096790313720703,10.744054794311523,-8.242840766906738,8.257247924804688,,,,,
audacious,-0.4615046977996826,-53.77840042114258,17.212360382080078,15.323065757751465,-7.605193138122559,,,,,
austere,-7.25692892074585,46.096885681152344,38.85457992553711,4.512225151062012,-4.828168869018555,,,,,
authentic,37.52075958251953,-11.626448631286621,9.518865585327148,10.591114044189453,17.119098663330078,,,,,
authoritarian,-20.508922576904297,19.26140594482422,42.288978576660156,-15.739526748657227,-19.681026458740234,,,,,
authoritative,12.692391395568848,7.445749282836914,52.37936019897461,-7.845670700073242,-10.976905822753906,,,,,
autocratic,-28.303760528564453,1.5385160446166992,36.122161865234375,-7.925545692443848,-21.57187843322754,,,,,
autonomous,12.614568710327148,-16.247934341430664,11.302668571472168,29.593481063842773,12.098747253417969,-0.03,-0.1,0.13,-0.12,0.18
avaricious,-31.998119354248047,-24.54409408569336,16.959110260009766,-14.149275779724121,-17.844768524169922,,,,,
average,28.611845016479492,27.30859375,-19.123310089111328,16.8948917388916,-2.2355990409851074,,,,,
awake,23.36115837097168,-17.977399826049805,-0.8422229290008545,17.31759262084961,15.140828132629395,,,,,
aware,31.247583389282227,-12.433501243591309,26.898752212524414,3.923210382461548,15.587408065795898,,,,,
aweless,-4.587459087371826,22.54286003112793,-23.121402740478516,28.199094772338867,17.511308670043945,,,,,
awesome,24.588224411010742,-22.150484085083008,6.817050933837891,4.708772659301758,22.965087890625,,,,,
awful,-37.013916015625,6.141086578369141,-6.804100036621094,-3.833043336868286,26.97527503967285,,,,,
awkward,-20.711669921875,6.716294765472412,-22.6204891204834,-11.027918815612793,5.618884563446045,,,,,
babyish,16.14028549194336,10.2194185256958,-47.5363655090332,-4.124101161956787,-14.4041109085083,,,,,
backbiting,-47.15285873413086,-9.770544052124023,13.871718406677246,-27.20020294189453,-18.066024780273438,,,,,
bad,-6.8386125564575195,-2.2472798824310303,-13.040583610534668,6.154609203338623,37.85830307006836,,,,,
baiting,-28.643110275268555,-15.885290145874023,2.3596582412719727,-16.55394172668457,4.461565971374512,,,,,
baleful,-36.12921142578125,-1.8755871057510376,16.829631805419922,-8.484582901000977,20.783382415771484,,,,,
balky,-29.845191955566406,22.16348648071289,-16.36117935180664,0.3575063943862915,4.852087020874023,,,,,
bashful,9.166545867919922,21.787729263305664,-38.52571105957031,-21.66838836669922,-4.660941123962402,0.22,-0.59,0.05,0.03,-0.02
bearish,-3.7772796154022217,35.84280014038086,-7.184009552001953,-7.854727745056152,-9.145838737487793,,,,,
beautiful,40.64498519897461,-18.336849212646484,6.484882831573486,-8.153517723083496,19.219573974609375,,,,,
bedraggled,-21.722665786743164,8.469438552856445,-30.140575408935547,-4.282073020935059,26.632455825805664,,,,,
believable,33.18120193481445,-6.908851623535156,13.106242179870605,4.4338603019714355,20.3730525970459,,,,,
bellicose,-31.022890090942383,-36.1944580078125,22.955913543701172,-1.9517661333084106,-23.536823272705078,,,,,
belligerent,-45.045921325683594,-19.260221481323242,20.622987747192383,-10.437040328979492,-15.615156173706055,-0.41,0.09,-0.03,0.11,-0.11
bendable,32.015872955322266,0.8627081513404846,-29.760120391845703,7.1944756507873535,6.140985488891602,,,,,
beneficent,52.9364013671875,-5.525777816772461,-4.128211975097656,-16.796932220458984,1.6177512407302856,,,,,
benevolent,55.42429733276367,3.103864908218384,-11.482756614685059,-21.95628547668457,-3.6353745460510254,0.3,-0.09,-0.04,-0.11,0.23
benign,48.54500961303711,20.2001953125,-24.78435516357422,-6.822742938995361,-10.001246452331543,,,,,
berating,-45.83256912231445,6.184819221496582,26.61590576171875,-23.496917724609375,-6.53026819229126,,,,,
bestial,-41.69922637939453,-8.528868675231934,0.6608947515487671,-2.629483938217163,19.179672241210938,,,,,
bewildered,-18.931480407714844,3.171692371368408,-28.88959503173828,1.1312838792800903,34.36587905883789,,,,,
biased,-25.89190673828125,-7.979979515075684,-1.5878742933273315,-14.138704299926758,-1.884667158126831,,,,,
