TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
argumentative,5.20,51,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,34275,"contentious; given to quarrels, debate, or clashes of opinion, often without a cause.",85,,,,,
aristocratic,2.60,52,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,16478,"socially exclusive; of a person who is perceived to be of superior rank, wealth, or intellect.",94,,,,,
arrogant,6.40,53,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,10392,having or displaying an attitude of inflated self-importance or pride.,70,,,,,
artful,NA,NA,dropped,nope,nope,Allport Odbert - Column III,21895,clever; ingenious.,18,,,,,
articulate,5.40,54,Norman - category 1; form 4,nope,yes,Allport Odbert - Column III,10603,having facility with words; fluent.,35,,,,,
artificial,NA,NA,NA,yes,nope,Allport Odbert - Column III,4905,not true or sincere; contrived; forced.,39,,,,,
artistic,5.20,55,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,3826,showing skill and imagination in creating.,42,,,,,
artless,NA,NA,dropped,nope,nope,Allport Odbert - Column III,54925,simple and natural; not artificial.,35,,,,,
artsy,NA,NA,new,nope,nope,new,42687,showily or pretentiously artistic.,34,,,,,
ascendant,1.00,56,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,32493,dominant or superior.,21,,,,,
ascetic,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column I,25808,rigorously simple and disciplined; austere; self-denying.,57,,,,,
ashamed,NA,NA,NA,yes,nope,Allport Odbert - Column II,7176,"having feelings of guilt, embarrassment, or shame.",50,,,,,
asocial,2.90,57,Norman - category 2; form 4,nope,yes,Allport Odbert - Column III,63392,"not seeking the company of others; not gregarious, sometimes because lacking social skills.",91,,,,,
assertive,6.00,58,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,15609,forward or aggressive in speech or action.,42,,,,,
assiduous,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column I,50045,persevering and tireless; diligent.,35,,,,,
assuming,NA,NA,dropped,nope,nope,Allport Odbert - Column II,5152,showing presumption or arrogance.,33,,,,,
assured,3.60,59,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,8275,confident; having faith in oneself.,35,,,,,
assuring,NA,NA,dropped,nope,nope,Allport Odbert - Column III,16792,causing to feel certain or secure.,34,,,,,
astute,2.80,60,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,18953,keen in understanding and judgment; shrewd.,43,,,,,
atheistic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,44096,of a person who believes that there is no god or gods.,54,,,,,
athletic,NA,NA,NA,yes,nope,Allport Odbert - Column IV,3342,active in sports; physically talented or trained.,49,,,,,
