TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
bullheaded,4.60,110,Norman - category 3; form 3,nope,yes,Allport Odbert - Column III,95530,stubborn; unwilling to change one's opinion or actions.,55,,,,,
bullish,1.80,111,Norman - category 3; form 4,nope,yes,Allport Odbert - Column III,23954,perversely stubborn.,20,,,,,
bullying,3.90,112,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,9090,"threatening or seeking to harm, intimidate, or coerce.",54,,,,,
buoyant,2.40,113,Norman - category 2; form 4,nope,yes,Allport Odbert - Column I,21926,marked by lightheartedness or cheer.,36,,,,,
buoying,NA,NA,dropped,nope,nope,Allport Odbert - Column III,72999,improving the morale of others.,31,,,,,
bureaucratic,NA,NA,Norman - category 2; form 5,nope,nope,Allport Odbert - Column I,8501,of a person who follows rules and routines rather than personal judgment.,73,,,,,
burned-out,NA,NA,NA,nope,nope,new,,in a state of physical or mental collapse caused by overwork or stress.,71,,,,,
businesslike,5.20,114,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,25679,serious; efficient; systematic.,31,,,,,
busy,NA,NA,NA,yes,nope,Allport Odbert - Column I,2218,characterized by much work or activity.,39,,,,,
busyish,1.30,115,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,NA,"of a person who often appears active, though not clearly productive.",68,,,,,
cagey,2.00,116,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,42075,careful not to be trapped or taken advantage of; wary; shrewd.,62,,,,,
cajoling,NA,NA,dropped,nope,nope,Allport Odbert - Column II,38307,"coaxing or persuading insistently, as with flattery or false promises.",70,,,,,
calculable,1.70,117,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,75071,dependable; of a person who can be counted on.,46,,,,,
calculating,4.20,118,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,12175,"coolly scheming, especially in a self-interested way.",53,,,,,
callous,4.20,119,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,24471,insensitive; unfeeling; hardhearted.,36,,,,,
callow,NA,NA,Norman - category 2; form 4,nope,nope,Allport Odbert - Column I,44511,lacking adult sophistication or judgment; inexperienced; immature.,66,,,,,
calm,6.00,120,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,6260,free of disturbance or strong feeling.,38,,,,,
calming,NA,NA,dropped,nope,nope,Allport Odbert - Column III,19194,soothing; making others tranquil and quiet.,43,,,,,
candid,5.00,121,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,12755,without deception or concealment; honest; forthright.,53,,,,,
canny,1.60,122,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,30336,prudent; shrewd; clever.,24,,,,,
cantankerous,3.00,123,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,37167,irritable; stubborn; quarrelsome.,33,,,,,
capable,4.60,124,NA,yes,nope,Allport Odbert - Column III,2673,having the ability to perform as required; competent.,53,,,,,
capricious,2.90,125,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,25682,tending to act on impulse; subject to whim; erratic and unpredictable.,70,,,,,
carefree,5.80,126,Norman - category 1; form 11,nope,yes,not included,20074,having no concerns or responsibility; without worry; lighthearted.,66,,,,,
careful,5.90,127,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,2129,cautious and watchful in one's actions.,39,,,,,
careless,5.90,128,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,13516,not cautious or attentive enough; negligent.,44,,,,,
careworn,1.20,129,Norman - category 1; form 1,nope,yes,Allport Odbert - Column IV,68900,showing the effects of prolonged worry.,39,,,,,
caring,NA,NA,NA,yes,nope,Allport Odbert - Column II,4736,displaying kindness and concern for others.,42,,,,,
casual,4.30,130,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,4715,informal; unconcerned; without serious intent or commitment.,60,,,,,
catty,5.10,131,Norman - category 1; form 2,nope,yes,Allport Odbert - Column III,49574,"slyly malicious, especially in one's remarks; spiteful.",55,,,,,
caustic,2.00,132,Norman - category 2; form 3,nope,yes,Allport Odbert - Column III,27957,bitingly critical.,18,,,,,
cautionary,NA,NA,Norman - category 3; form 13,nope,nope,new,18954,serving to warn; admonishing.,29,,,,,
cautious,5.20,133,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,6703,wary; careful.,14,,,,,
cavalier,2.90,134,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,29593,showing offhand disregard; arrogant and disdainful.,51,,,,,
censorial,1.30,135,Norman - category 2; form 1,nope,yes,Allport Odbert - Column II,NA,"of a person who suppresses topics, ideas, or comments that others might find objectionable.",91,,,,,
censorious,NA,NA,dropped,nope,nope,Allport Odbert - Column I,54532,highly critical or disapproving.,32,,,,,
cerebral,2.80,136,Norman - category 2; form 2,nope,yes,Allport Odbert - Column III,14076,characterized by intellect or reason.,37,,,,,
ceremonious,1.70,137,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,70367,given to formality; formally polite.,36,,,,,
certain,3.40,138,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,533,without doubt; convinced; sure.,31,,,,,
challenging,NA,NA,dropped,nope,nope,Allport Odbert - Column II,4566,"arousing competitive interest, thought, or action.",50,,,,,
chameleonlike,NA,NA,Norman - category 3; form 5,nope,nope,Allport Odbert - Column I,86387,"of a person who changes opinions, behaviors, or appearance according to the situation.",86,,,,,
changeable,3.70,139,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,34175,fickle; able or likely to vary.,31,,,,,
changeless,2.20,140,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,61701,constant; invariable or immutable.,34,,,,,
charismatic,NA,NA,new,nope,nope,new,11285,having unusually strong personal allure or appeal.,50,,,,,
charitable,5.30,141,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,8804,generous in donations or benevolent actions.,44,,,,,
charming,NA,NA,NA,yes,nope,Allport Odbert - Column III,6283,"alluring, delightful, or very attractive.",41,,,,,
chaste,3.10,142,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,29564,morally pure; without obscenity.,32,,,,,
chattering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,17847,speaking rapidly and without important content; jabbering.,58,,,,,
chatty,5.50,143,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,28352,prone to light familiar conversation; talkative.,48,,,,,
chauvinistic,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column I,45492,of a person who believes in the superiority of his or her own sex.,66,,,,,
cheap,NA,NA,NA,yes,nope,Allport Odbert - Column III,3065,unwilling to spend much money; stingy.,38,,,,,
cheeky,NA,NA,Norman - category 3; form 5,nope,nope,Allport Odbert - Column III,34616,disrespectful; impertinent or insolent; impudent.,49,,,,,
cheerful,6.30,144,Norman - category 1; form 2,nope,yes,Allport Odbert - Column I,9569,bright or pleasant; full of good spirits.,41,,,,,
cheerless,NA,NA,dropped,nope,nope,Allport Odbert - Column III,50582,"without joy or cheer; gloomy, dreary, or dismal.",48,,,,,
cheery,NA,NA,dropped,nope,nope,Allport Odbert - Column I,20920,lively; happy; joyful.,22,,,,,
cheesy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,21716,cheap; shabby.,14,,,,,
cherubic,1.30,145,Norman - category 2; form 3,nope,yes,Allport Odbert - Column III,46816,"having childlike innocence and/or a plump, rosy appearance.",59,,,,,
chic,3.40,146,Norman - category 2; form 5,nope,yes,Allport Odbert - Column III,10977,elegant or fashionable; stylish.,32,,,,,
childish,5.50,147,Norman - category 3; form 4,nope,yes,Allport Odbert - Column III,16058,"marked by immaturity, weakness, or foolishness.",47,,,,,
childlike,4.20,148,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,19598,"marked by innocence, trust, and ingenuousness.",46,,,,,
chipper,4.20,149,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,34054,in good health or spirits; cheerful.,36,,,,,
chitchatty,2.70,150,Norman - category 3; form 11,nope,yes,not included,NA,given to inconsequential conversation.,38,,,,,
chivalrous,3.60,151,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,49919,"marked by gracious courtesy, honor, and generosity, especially to women.",72,,,,,
choosy,3.90,152,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,47513,difficult to please; very selective.,36,,,,,
chubby,NA,NA,NA,yes,nope,Allport Odbert - Column IV,19278,plump and round.,16,,,,,
chummy,NA,NA,dropped,nope,nope,Allport Odbert - Column II,42252,"acting as if one was or wished to be in a close, friendly relationship.",71,,,,,
churlish,NA,NA,Norman - category 2; form 2,nope,nope,Allport Odbert - Column III,51074,rude or vulgar in behavior or manner.,37,,,,,
circumspect,1.90,153,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,31377,discreet; cautious; prudently concerned with the consequences of one's actions.,79,,,,,
civil,4.40,154,Norman - category 2; form 1,nope,yes,Allport Odbert - Column I,992,observing socially acceptable standards of politeness and courtesy.,67,,,,,
civilized,4.90,155,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,9745,educated or refined.,20,,,,,
clairvoyant,2.40,156,Norman - category 2; form 3,nope,yes,Allport Odbert - Column I,54346,possessing the ability to see or know things that are beyond the five senses.,77,,,,,
clandestine,NA,NA,Norman - category 2; form 1,nope,nope,Allport Odbert - Column II,16617,"secret or surreptitious, especially for subversive or illicit purposes.",71,,,,,
clannish,1.40,157,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,73100,"tending to associate closely with persons similar to oneself, to the exclusion of others.",89,,,,,
classy,NA,NA,dropped,nope,nope,Allport Odbert - Column III,19206,of high quality; stylish.,25,,,,,
clean,NA,NA,NA,yes,nope,Allport Odbert - Column I,1696,"free from dirt, marks, or stains; morally uncontaminated, pure, innocent.",42,,,,,
clear-cut,2.90,158,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,17300,easily perceived; obvious; evident.,35,,,,,
clear-eyed,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,39983,able to see things as they are; perceptive or realistic.,56,,,,,
clear-sighted,2.50,160,Norman - category 1; form 3,nope,yes,Allport Odbert - Column III,85406,able to think accurately; discerning.,33,,,,,
clear-thinking,3.50,161,NA,yes,nope,not included,79197,"possessing an alert, perceptive, wide-awake mind.",49,,,,,
clearheaded,3.20,159,Norman - category 3; form 2,nope,yes,Allport Odbert - Column III,63601,possessing sound judgment; perceptive.,56,,,,,
clever,6.10,162,Norman - category 3; form 1,nope,yes,Allport Odbert - Column III,6230,mentally sharp and adept.,25,,,,,
clinging,NA,NA,dropped,nope,nope,Allport Odbert - Column II,11144,holding onto someone or something tightly.,42,,,,,
clingy,5.30,163,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,44055,tending to stay very emotionally close to someone; cloying.,59,,,,,
cliquish,4.60,164,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,NA,tending to form or hold exclusive groups and so not welcoming to outsiders.,74,,,,,
close-fisted,3.10,166,Norman - category 3; form 2,nope,yes,Allport Odbert - Column I,NA,unreceptive to new ideas or arguments.,38,,,,,
close-mouthed,3.00,167,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,79637,"not generous, especially with money; stingy; miserly.",53,,,,,
closed-minded,6.40,165,Norman - category 3; form 12,nope,yes,not included,73649,saying little; not talkative; reticent.,39,,,,,
clownish,3.50,168,Norman - category 3; form 5,nope,yes,Allport Odbert - Column III,52078,"foolish, playful, or humorously exaggerated.",44,,,,,
cloying,NA,NA,Norman - category 2; form 1,nope,nope,Allport Odbert - Column III,33908,sickening or wearisome by being excessively sweet or pleasant.,62,,,,,
clubby,NA,NA,Norman - category 3; form 3,nope,nope,Allport Odbert - Column I,45252,friendly and sociable with fellow members of a group or organization but not with outsiders.,92,,,,,
clumsy,6.00,169,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,12512,lacking physical grace or coordination; awkward; fumbling.,58,,,,,
coarse,3.60,170,Norman - category 1; form 1,nope,yes,Allport Odbert - Column III,10853,lacking social refinement or sensitivity; crude; vulgar.,56,,,,,
cocksure,NA,NA,dropped,nope,nope,Allport Odbert - Column II,53366,overly confident.,17,,,,,
cocky,6.00,171,Norman - category 1; form 3,nope,yes,Allport Odbert - Column I,20097,arrogantly self-confident.,26,,,,,
coercing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,45276,compelling or bringing about by intimidation or force.,54,,,,,
coercive,4.10,172,Norman - category 2; form 5,nope,yes,Allport Odbert - Column II,16557,"tending to pressure others, sometimes using threats, intimidation, or force.",88,,,,,
cognitive,NA,NA,Norman - category 2; form 3,nope,nope,Allport Odbert - Column I,3293,"prone to frequent and heavy intellectual activity such as thinking, reasoning, or remembering.",94,,,,,
coherent,3.30,173,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,9086,logically ordered or connected; consistent.,43,,,,,
cold,5.60,174,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,856,without feeling or affection.,29,,,,,
cold-blooded,NA,NA,Norman - category 3; form 2,nope,nope,Allport Odbert - Column I,25176,"acting without consideration, compunction, or clemency.",55,,,,,
cold-hearted,5.50,175,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,51441,without kindness or sympathy.,29,,,,,
colorful,NA,NA,NA,yes,nope,Allport Odbert - Column III,5364,lively and exciting; full of interest.,38,,,,,
combative,3.80,176,Norman - category 2; form 5,nope,yes,Allport Odbert - Column I,23743,eager or ready to fight.,24,,,,,
comfortable,NA,NA,NA,yes,nope,Allport Odbert - Column II,1821,free from stress or tension.,28,,,,,
comical,NA,NA,NA,yes,nope,Allport Odbert - Column III,21355,causing amusement; funny.,25,,,,,
commandeering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,61265,taking by force or without authorization.,41,,,,,
commanding,NA,NA,dropped,nope,nope,Allport Odbert - Column I,10325,having a domineering or authoritative air; imposing.,52,,,,,
communicative,3.30,177,Norman - category 2; form 4,nope,yes,Allport Odbert - Column I,20038,"tending to relate one's thoughts, plans, and feelings readily and well.",71,,,,,
companionable,2.80,178,Norman - category 3; form 5,nope,yes,Allport Odbert - Column I,42692,having friendly qualities; congenial.,37,,,,,
compassionate,6.00,179,Norman - category 1; form 1,nope,yes,Allport Odbert - Column I,10575,filled with care for another's suffering; sympathetic.,54,,,,,
compassionless,2.90,180,Norman - category 3; form 14,nope,yes,not included,NA,unsympathetic to the distress of others.,40,,,,,
compatible,NA,NA,NA,yes,nope,Allport Odbert - Column III,9187,able to exist or function harmoniously with another.,52,,,,,
competent,NA,NA,NA,yes,nope,Allport Odbert - Column III,7316,capable; qualified.,19,,,,,
competitive,NA,NA,new,nope,nope,new,2555,wanting very much to win or be more successful than other people.,65,,,,,
competitory,1.10,181,Norman - category 3; form 3,nope,yes,Allport Odbert - Column I,NA,"one who enjoys participating in, and typically winning, contests and games.",75,,,,,
complacent,4.30,182,Norman - category 2; form 4,nope,yes,Allport Odbert - Column I,20943,smug or uncritically satisfied with oneself or one's achievements.,29,,,,,
complaining,4.20,183,NA,yes,nope,Allport Odbert - Column II,6979,expression of dissatisfaction or annoyance about something.,60,,,,,
complaisant,3.40,184,Norman - category 2; form 11,nope,yes,not included,88654,eager or willing to please; amenable; obliging.,47,,,,,
complex,4.90,185,Norman - category 1; form 1,nope,yes,Allport Odbert - Column III,1625,having a complicated structure; not simple.,43,,,,,
compliant,4.30,186,Norman - category 2; form 2,nope,yes,Allport Odbert - Column I,21444,willing to cooperate or agree; accommodating.,45,,,,,
